,price,action,amount,value,price_increase,value_return
20160205,39.07,N,0,30000.00,0.00,0.00
20160215,41.97,N,0,30000.00,0.07,0.00
20160216,42.31,N,0,30000.00,0.08,0.00
20160217,41.89,N,0,30000.00,0.07,0.00
20160218,42.67,N,0,30000.00,0.09,0.00
20160219,40.65,N,0,30000.00,0.04,0.00
20160222,41.35,N,0,30000.00,0.06,0.00
20160223,43.56,N,0,30000.00,0.11,0.00
20160224,39.72,S,0,30000.00,0.02,0.00
20160225,37.32,N,0,30000.00,-0.04,0.00
20160226,38.40,N,0,30000.00,-0.02,0.00
20160229,34.56,N,0,30000.00,-0.12,0.00
20160301,34.77,N,0,30000.00,-0.11,0.00
20160302,37.35,N,0,30000.00,-0.04,0.00
20160303,35.76,N,0,30000.00,-0.08,0.00
20160304,32.47,N,0,30000.00,-0.17,0.00
20160307,34.38,N,0,30000.00,-0.12,0.00
20160308,36.32,B,100,30000.00,-0.07,0.00
20160309,36.88,N,0,30056.00,-0.06,0.00
20160310,36.68,N,0,30036.00,-0.06,0.00
20160311,40.11,N,0,30379.00,0.03,0.01
20160314,43.10,N,0,30678.00,0.10,0.02
20160329,44.07,N,0,30775.00,0.13,0.03
20160330,48.08,N,0,31176.00,0.23,0.04
20160331,52.89,N,0,31657.00,0.35,0.06
20160401,51.90,N,0,31558.00,0.33,0.05
20160405,54.60,N,0,31828.00,0.40,0.06
20160406,53.28,N,0,31696.00,0.36,0.06
20160407,51.59,N,0,31527.00,0.32,0.05
20160408,56.29,N,0,31997.00,0.44,0.07
20160411,59.33,N,0,32301.00,0.52,0.08
20160412,53.40,N,0,31708.00,0.37,0.06
20160413,55.59,N,0,31927.00,0.42,0.06
20160414,55.19,N,0,31887.00,0.41,0.06
20160415,52.37,N,0,31605.00,0.34,0.05
20160418,51.81,N,0,31549.00,0.33,0.05
20160419,52.24,N,0,31592.00,0.34,0.05
20160420,50.24,N,0,31392.00,0.29,0.05
20160421,46.87,N,0,31055.00,0.20,0.04
20160422,48.92,N,0,31260.00,0.25,0.04
20160425,47.44,N,0,31112.00,0.21,0.04
20160426,49.80,N,0,31348.00,0.27,0.04
20160427,48.38,N,0,31206.00,0.24,0.04
20160428,49.91,N,0,31359.00,0.28,0.05
20160429,50.62,N,0,31430.00,0.30,0.05
20160503,53.48,N,0,31716.00,0.37,0.06
20160504,52.84,N,0,31652.00,0.35,0.06
20160505,55.97,N,0,31965.00,0.43,0.07
20160506,51.22,N,0,31490.00,0.31,0.05
20160509,46.86,N,0,31054.00,0.20,0.04
20160510,46.96,N,0,31064.00,0.20,0.04
20160511,44.91,N,0,30859.00,0.15,0.03
20160512,45.30,B,100,30898.00,0.16,0.03
20160513,44.00,N,0,30638.00,0.13,0.02
20160516,46.82,B,100,31202.00,0.20,0.04
20160517,48.09,N,0,31583.00,0.23,0.05
20160518,44.56,N,0,30524.00,0.14,0.02
20160519,45.48,N,0,30800.00,0.16,0.03
20160520,47.50,N,0,31406.00,0.22,0.05
20160523,48.73,N,0,31775.00,0.25,0.06
20160524,47.56,N,0,31424.00,0.22,0.05
20160525,48.22,B,100,31622.00,0.23,0.05
20160526,50.69,B,0,32610.00,0.30,0.09
20160527,49.56,N,0,32158.00,0.27,0.07
20160530,48.97,N,0,31922.00,0.25,0.06
20160531,52.29,N,0,33250.00,0.34,0.11
20160601,52.74,N,0,33430.00,0.35,0.11
20160602,54.57,N,0,34162.00,0.40,0.14
20160603,60.02,N,0,36342.00,0.54,0.21
20160606,59.61,N,0,36178.00,0.53,0.21
20160607,62.10,N,0,37174.00,0.59,0.24
20160608,56.61,N,0,34978.00,0.45,0.17
20160613,50.95,N,0,32714.00,0.30,0.09
20160614,51.52,N,0,32942.00,0.32,0.10
20160615,54.60,N,0,34174.00,0.40,0.14
20160616,54.79,N,0,34250.00,0.40,0.14
20160617,56.41,N,0,34898.00,0.44,0.16
20160620,57.91,N,0,35498.00,0.48,0.18
20160621,54.58,N,0,34166.00,0.40,0.14
20160622,56.10,N,0,34774.00,0.44,0.16
20160623,55.07,N,0,34362.00,0.41,0.15
20160624,60.57,N,0,36562.00,0.55,0.22
20160627,65.73,N,0,38626.00,0.68,0.29
20160628,64.67,N,0,38202.00,0.66,0.27
20160629,64.66,N,0,38198.00,0.65,0.27
20160630,59.49,N,0,36130.00,0.52,0.20
20160701,59.74,N,0,36230.00,0.53,0.21
20160704,63.82,N,0,37862.00,0.63,0.26
20160705,63.96,N,0,37918.00,0.64,0.26
20160706,62.30,N,0,37254.00,0.59,0.24
20160707,63.22,N,0,37622.00,0.62,0.25
20160708,62.34,N,0,37270.00,0.60,0.24
20160711,58.56,N,0,35758.00,0.50,0.19
20160712,60.30,N,0,36454.00,0.54,0.22
20160713,59.60,N,0,36174.00,0.53,0.21
20160714,60.18,B,0,36406.00,0.54,0.21
20160715,61.07,N,0,36762.00,0.56,0.23
20160718,58.21,N,0,35618.00,0.49,0.19
20160719,58.76,N,0,35838.00,0.50,0.19
20160720,59.00,N,0,35934.00,0.51,0.20
20160721,57.96,N,0,35518.00,0.48,0.18
20160722,55.80,N,0,34654.00,0.43,0.16
20160725,54.94,B,0,34310.00,0.41,0.14
20160726,56.05,N,0,34754.00,0.43,0.16
20160727,50.86,N,0,32678.00,0.30,0.09
20160728,51.08,N,0,32766.00,0.31,0.09
20160729,50.45,N,0,32514.00,0.29,0.08
20160801,47.94,N,0,31510.00,0.23,0.05
20160802,48.87,N,0,31882.00,0.25,0.06
20160803,50.21,N,0,32418.00,0.29,0.08
20160804,50.30,N,0,32454.00,0.29,0.08
