,price,action,amount,value,price_increase,value_return
20110407,7.02,N,0,30000.00,0.00,0.00
20110408,7.09,N,0,30000.00,0.01,0.00
20110411,7.05,N,0,30000.00,0.00,0.00
20110412,7.17,N,0,30000.00,0.02,0.00
20110413,7.30,N,0,30000.00,0.04,0.00
20110414,7.28,S,0,30000.00,0.04,0.00
20110415,7.23,N,0,30000.00,0.03,0.00
20110418,7.32,N,0,30000.00,0.04,0.00
20110419,7.18,N,0,30000.00,0.02,0.00
20110420,7.39,N,0,30000.00,0.05,0.00
20110421,7.38,N,0,30000.00,0.05,0.00
20110422,7.25,N,0,30000.00,0.03,0.00
20110426,6.68,N,0,30000.00,-0.05,0.00
20110427,6.64,N,0,30000.00,-0.05,0.00
20110428,7.08,B,700,30000.00,0.01,0.00
20110429,7.17,N,0,30063.00,0.02,0.00
20110503,7.64,B,600,30392.00,0.09,0.01
20110504,7.88,N,0,30704.00,0.12,0.02
20110505,7.77,N,0,30561.00,0.11,0.02
20110506,7.79,N,0,30587.00,0.11,0.02
20110509,8.13,N,0,31029.00,0.16,0.03
20110510,8.08,N,0,30964.00,0.15,0.03
20110511,8.09,N,0,30977.00,0.15,0.03
20110512,8.14,N,0,31042.00,0.16,0.03
20110513,8.30,N,0,31250.00,0.18,0.04
20110516,8.23,N,0,31159.00,0.17,0.04
20110517,7.86,N,0,30678.00,0.12,0.02
20110518,8.55,N,0,31575.00,0.22,0.05
20110519,8.36,N,0,31328.00,0.19,0.04
20110520,8.27,S,600,31211.00,0.18,0.04
20110523,8.00,N,0,31022.00,0.14,0.03
20110524,7.91,N,0,30959.00,0.13,0.03
20110525,7.97,N,0,31001.00,0.14,0.03
20110526,7.48,N,0,30658.00,0.07,0.02
20110527,7.01,N,0,30329.00,-0.00,0.01
20110530,7.01,N,0,30329.00,-0.00,0.01
20110531,7.26,B,600,30504.00,0.03,0.02
20110601,7.30,N,0,30556.00,0.04,0.02
20110602,7.19,N,0,30413.00,0.02,0.01
20110603,7.37,N,0,30647.00,0.05,0.02
20110607,7.36,N,0,30634.00,0.05,0.02
