,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
,,,,,,,,,,,
0,002410.SZ,20190812,33.48,34.34,33.02,34.28,33.48,0.8,2.39,58501,198000
,,,,,,,,,,,
0,002410.SZ,20190809,34.03,34.25,33.21,33.48,33.69,-0.21,-0.62,36892,124000
,,,,,,,,,,,
0,002410.SZ,20190808,34,34.26,33.53,33.69,33.71,-0.02,-0.06,31594,107000
,,,,,,,,,,,
0,002410.SZ,20190807,33.41,34.28,33.41,33.71,33.13,0.58,1.75,53696,182000
,,,,,,,,,,,
0,002410.SZ,20190806,33,33.57,32.42,33.13,33.59,-0.46,-1.37,59225,196000
,,,,,,,,,,,
0,002410.SZ,20190805,34.8,35.3,33.48,33.59,35.3,-1.71,-4.84,89514,360000
,,,,,,,,,,,
0,002410.SZ,20190802,34,35.57,33.62,35.3,34.88,0.42,1.2,72464.58,252425.615
,,,,,,,,,,,
1,002410.SZ,20190801,35.07,35.35,34.15,34.88,35.08,-0.2,-0.57,78125.25,270911.093
,,,,,,,,,,,
2,002410.SZ,20190731,33.72,35.49,33.72,35.08,33.56,1.52,4.53,156214.87,543758.614
,,,,,,,,,,,
3,002410.SZ,20190730,33.81,34.19,33.56,33.56,33.8,-0.24,-0.71,31352.21,106375.785
,,,,,,,,,,,
4,002410.SZ,20190729,33.63,34.1,33.41,33.8,33.6,0.2,0.6,38876.22,131485.077
,,,,,,,,,,,
5,002410.SZ,20190726,33.53,33.77,33.05,33.6,33.59,0.01,0.03,32804.79,109701.463
,,,,,,,,,,,
6,002410.SZ,20190725,33,33.95,33,33.59,33.57,0.02,0.06,43391.27,145285.17
,,,,,,,,,,,
7,002410.SZ,20190724,33.2,34.1,33.1,33.57,33.13,0.44,1.33,51021.26,171983.462
,,,,,,,,,,,
8,002410.SZ,20190723,32.5,33.28,32.28,33.13,32.55,0.58,1.78,47211.45,155441.122
,,,,,,,,,,,
9,002410.SZ,20190722,32.35,32.98,31.84,32.55,32.35,0.2,0.62,53447.85,173748.445
,,,,,,,,,,,
10,002410.SZ,20190719,32.23,32.86,32.17,32.35,32.23,0.12,0.37,38708.14,125995.785
,,,,,,,,,,,
11,002410.SZ,20190718,32.97,32.97,31.85,32.23,32.8,-0.57,-1.74,57205.88,184610.947
,,,,,,,,,,,
12,002410.SZ,20190717,33.57,33.72,32.74,32.8,33.7,-0.9,-2.67,61261.84,202476.577
,,,,,,,,,,,
13,002410.SZ,20190716,33.98,34.5,33.3,33.7,34.46,-0.76,-2.21,61453.56,207865.656
,,,,,,,,,,,
14,002410.SZ,20190715,33.17,34.79,32.62,34.46,32.8,1.66,5.06,90507.91,308117.743
,,,,,,,,,,,
15,002410.SZ,20190712,33.05,33.45,32.55,32.8,33.08,-0.28,-0.85,47580.73,156937.516
,,,,,,,,,,,
16,002410.SZ,20190711,33.06,33.77,32.8,33.08,33.07,0.01,0.03,42011.99,139793.784
,,,,,,,,,,,
17,002410.SZ,20190710,32.54,33.46,32.46,33.07,32.41,0.66,2.04,62172.49,205146.974
,,,,,,,,,,,
18,002410.SZ,20190709,33.09,33.11,32.18,32.41,32.83,-0.42,-1.28,41531.02,134855.288
,,,,,,,,,,,
19,002410.SZ,20190708,32.58,33.28,32.39,32.83,33.2,-0.37,-1.11,68295.11,223487.891
,,,,,,,,,,,
20,002410.SZ,20190705,33.09,33.45,32.81,33.2,32.8,0.4,1.22,50633.87,167872.28
,,,,,,,,,,,
21,002410.SZ,20190704,33.68,33.69,32.58,32.8,33.47,-0.67,-2,80638.1,265699.856
,,,,,,,,,,,
22,002410.SZ,20190703,33.76,34.09,33.12,33.47,33.99,-0.52,-1.53,76648.75,256706.477
,,,,,,,,,,,
23,002410.SZ,20190702,34.25,35.2,33.6,33.99,34.72,-0.73,-2.1,92590.78,317958.443
,,,,,,,,,,,
24,002410.SZ,20190701,33.4,34.98,33.21,34.72,32.89,1.83,5.56,141771.98,486204.907
,,,,,,,,,,,
25,002410.SZ,20190628,31.66,33,31.03,32.89,31.64,1.25,3.95,100825.08,321729.989
,,,,,,,,,,,
26,002410.SZ,20190627,31.56,32.16,31.41,31.64,31.75,-0.11,-0.35,70456.42,223468.944
,,,,,,,,,,,
27,002410.SZ,20190626,31,32.26,31,31.75,31.3,0.45,1.44,104938.75,332904.093
,,,,,,,,,,,
28,002410.SZ,20190625,31.39,31.67,30.39,31.3,31.43,-0.13,-0.41,103091.14,320208.617
,,,,,,,,,,,
29,002410.SZ,20190624,31.55,32.18,31.06,31.43,31.68,-0.25,-0.79,77801.78,244626.04
,,,,,,,,,,,
30,002410.SZ,20190621,30.42,31.75,30.35,31.68,30.38,1.3,4.28,129060.57,405082.367
,,,,,,,,,,,
31,002410.SZ,20190620,29.37,30.69,29.35,30.38,29.46,0.92,3.12,118542.12,357561.863
,,,,,,,,,,,
32,002410.SZ,20190619,29.2,29.93,29.05,29.46,28.6,0.86,3.01,117369.32,346532.753
,,,,,,,,,,,
33,002410.SZ,20190618,28.49,28.92,28.44,28.6,28.6,0,0,38046.86,109137.244
,,,,,,,,,,,
34,002410.SZ,20190617,28.97,29.27,28.29,28.6,29.27,-0.67,-2.29,65625.13,188557.502
,,,,,,,,,,,
35,002410.SZ,20190614,28.87,29.27,28.22,29.27,28.87,0.4,1.39,95504.68,274344.237
,,,,,,,,,,,
36,002410.SZ,20190613,28.88,29.15,28.52,28.87,29.15,-0.28,-0.96,89774.93,258781.93
,,,,,,,,,,,
37,002410.SZ,20190612,29.66,29.66,28.99,29.15,29.51,-0.36,-1.22,91461.01,266804.256
,,,,,,,,,,,
38,002410.SZ,20190611,27.91,29.59,27.67,29.51,27.9,1.61,5.77,125554.39,364937.591
,,,,,,,,,,,
39,002410.SZ,20190610,28.15,28.31,27.61,27.9,28.2,-0.3,-1.06,59368.02,166224.494
,,,,,,,,,,,
40,002410.SZ,20190606,28.06,28.62,27.9,28.2,28.07,0.13,0.46,66445.96,188123.597
,,,,,,,,,,,
41,002410.SZ,20190605,28.56,28.7,28.07,28.07,28.27,-0.2,-0.71,40196.18,114071.829
,,,,,,,,,,,
42,002410.SZ,20190604,28.17,28.37,27.71,28.27,27.83,0.44,1.58,59650.46,167421.535
,,,,,,,,,,,
43,002410.SZ,20190603,29.01,29.17,27.55,27.83,28.98,-1.15,-3.97,116422.88,327101.544
,,,,,,,,,,,
44,002410.SZ,20190531,28.64,29.05,28.35,28.98,28.6,0.38,1.33,56699,163637.301
,,,,,,,,,,,
45,002410.SZ,20190530,28.6,28.8,27.82,28.6,28.6,0,0,46749.07,132301.861
,,,,,,,,,,,
46,002410.SZ,20190529,28.68,29.11,28.4,28.6,29.03,-0.43,-1.48,46982.91,135175.747
,,,,,,,,,,,
47,002410.SZ,20190528,28.54,29.15,28.35,29.03,28.54,0.49,1.72,80376.35,231627.696
,,,,,,,,,,,
48,002410.SZ,20190527,27.56,28.67,27.51,28.54,27.58,0.96,3.48,58866.81,166203.821
,,,,,,,,,,,
49,002410.SZ,20190524,27.92,28.47,27.57,27.58,27.94,-0.36,-1.29,42723.98,119072.197
,,,,,,,,,,,
50,002410.SZ,20190523,28.73,28.88,27.83,27.94,28.98,-1.04,-3.59,82796.81,233309.992
,,,,,,,,,,,
51,002410.SZ,20190522,28.48,28.99,28.1,28.98,28.28,0.7,2.48,56558.61,161789.178
,,,,,,,,,,,
