,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600030.SH,20190812,21.15,21.35,21.09,21.34,20.79,0.5500000000000007,2.65,1078209.33,2288657.411
1,600030.SH,20190809,21.1,21.19,20.73,20.79,20.91,-0.120000000000001,-0.57,850866.29,1783744.213
2,600030.SH,20190808,21.15,21.24,20.79,20.91,20.5,0.41000000000000014,2.0,1301572.7,2732868.515
3,600030.SH,20190807,20.91,20.97,20.48,20.5,20.85,-0.3500000000000014,-1.68,992022.9,2052798.272
4,600030.SH,20190806,20.39,21.08,20.16,20.85,20.94,-0.08999999999999986,-0.43,1641234.2,3366485.552
5,600030.SH,20190805,21.48,21.48,20.93,20.94,21.71,-0.7699999999999996,-3.55,1405690.25,2974561.629
6,600030.SH,20190802,21.9,21.97,21.68,21.71,22.57,-0.8599999999999994,-3.81,1114826.7,2429534.313
7,600030.SH,20190801,22.74,22.83,22.46,22.57,22.87,-0.3000000000000007,-1.31,809710.56,1857721.634
8,600030.SH,20190731,22.97,23.03,22.78,22.87,23.05,-0.17999999999999972,-0.78,633683.01,1470984.037
9,600030.SH,20190730,22.84,23.28,22.81,23.05,22.81,0.240000000000002,1.05,1001973.18,2350144.942
10,600030.SH,20190729,22.97,22.99,22.71,22.81,23.03,-0.22000000000000242,-0.96,626721.02,1451691.772
11,600030.SH,20190726,22.92,23.03,22.83,23.03,23.03,0.0,0.0,536303.39,1249082.288
12,600030.SH,20190725,22.93,23.03,22.81,23.03,22.9,0.13000000000000256,0.57,643832.28,1499048.314
13,600030.SH,20190724,22.66,23.07,22.66,22.9,22.52,0.379999999999999,1.69,1086122.54,2529016.57
14,600030.SH,20190723,22.48,22.71,22.41,22.52,22.45,0.07000000000000028,0.31,501549.34,1147807.078
15,600030.SH,20190722,22.93,22.99,22.43,22.45,22.82,-0.370000000000001,-1.62,923064.59,2121518.679
16,600030.SH,20190719,22.49,22.99,22.48,22.82,22.37,0.4499999999999993,2.01,1080637.12,2499957.08
17,600030.SH,20190718,22.55,22.6,22.36,22.37,22.74,-0.36999999999999744,-1.63,867815.96,1980426.53
18,600030.SH,20190717,22.9,23.04,22.66,22.74,23.07,-0.33000000000000185,-1.43,1206503.32,2800564.773
19,600030.SH,20190716,23.25,23.4,23.07,23.07,23.33,-0.259999999999998,-1.11,780117.01,1837695.042
20,600030.SH,20190715,22.75,23.69,22.58,23.33,23.01,0.31999999999999673,1.39,1502422.96,3538354.492
21,600030.SH,20190712,22.79,23.05,22.55,23.01,22.82,0.19000000000000128,0.83,966705.47,2250020.437
22,600030.SH,20190711,23.04,23.28,22.64,22.82,22.84,-0.019999999999999574,-0.09,1237520.35,2885829.479
23,600030.SH,20190710,22.98,23.04,22.69,22.84,22.87,-0.030000000000001137,-0.13,786532.11,1825237.65
24,600030.SH,20190709,22.99,23.08,22.57,22.87,22.81,0.060000000000002274,0.26,957241.69,2220341.816
