code_name	incr	roe1	roe2	down	sharp
000066.SZ	1.06	2.22	0.12	-0.15	0.06
000069.SZ	0.36	-0.58	-0.08	-0.60	-0.67
000100.SZ	2.34	2.10	0.12	-0.16	-0.01
000338.SZ	2.76	1.12	0.07	-0.13	-0.16
000425.SZ	0.17	0.09	0.01	-0.14	-0.08
000538.SZ	2.93	0.25	0.02	-0.14	-1.16
000568.SZ	6.33	0.30	0.02	-0.28	-0.85
000596.SZ	10.83	1.30	0.08	-0.22	-0.37
000708.SZ	3.12	1.94	0.11	-0.15	-0.06
000768.SZ	1.67	0.58	0.04	-0.36	-0.13
000938.SZ	4.02	-0.16	-0.02	-0.27	-1.36
002044.SZ	3.52	2.05	0.12	-0.56	-0.04
002153.SZ	2.22	0.10	0.01	-0.53	-0.45
002304.SZ	5.72	1.46	0.08	-0.10	-0.30
002938.SZ	1.10	0.30	0.10	-0.23	-1.38
300122.SZ	15.36	1.16	0.08	-0.29	-0.48
300274.SZ	31.33	19.80	0.39	-0.07	-0.02
300413.SZ	1.62	0.96	0.14	-0.10	-0.24
300433.SZ	0.52	0.60	0.08	-0.18	0.03
300601.SZ	5.13	1.15	0.20	-0.17	-0.77
300676.SZ	-0.06	0.33	0.08	-0.24	0.64
300677.SZ	6.64	3.78	0.51	-0.34	-0.11
600010.SH	0.88	1.63	0.09	-0.08	0.08
600011.SH	-0.19	-0.06	-0.01	-0.34	0.14
600018.SH	0.31	0.87	0.06	-0.28	0.08
600085.SH	3.01	1.06	0.07	-0.13	-0.22
600161.SH	3.04	0.11	0.01	-0.13	-1.28
600196.SH	6.41	1.46	0.09	-0.01	-0.36
600346.SH	11.81	3.57	0.17	-0.14	-0.14
600362.SH	-0.21	-0.07	-0.01	-0.25	0.18
600584.SH	4.14	0.44	0.04	-0.21	-0.63
600655.SH	-0.23	0.05	0.00	-0.22	0.25
600660.SH	5.93	2.27	0.11	-0.11	-0.13
600893.SH	3.58	0.44	0.04	-0.19	-0.62
600999.SH	0.15	0.55	0.04	-0.13	0.11
601100.SH	18.43	1.35	0.10	-0.00	-0.87
601155.SH	2.77	0.74	0.11	-0.13	-0.65
601216.SH	1.69	1.28	0.09	-0.30	-0.04
601238.SH	1.97	0.12	0.01	-0.29	-0.89
601600.SH	-0.57	0.26	0.02	-0.10	0.80
601628.SH	0.22	0.56	0.04	-0.14	0.09
601633.SH	19.09	4.87	0.21	-0.02	-0.20
601696.SH	-0.32	0.04	0.03	-0.23	3.61
601766.SH	0.35	1.21	0.08	-0.48	0.07
601788.SH	-0.32	0.89	0.06	-0.25	0.24
603799.SH	11.21	2.27	0.21	-0.09	-0.58
603806.SH	6.73	1.37	0.14	-0.03	-0.66
603986.SH	4.35	1.81	0.30	-0.16	-0.39
603993.SH	1.87	1.29	0.10	-0.17	-0.07
688036.SH	2.98	0.61	0.33	-0.23	-3.58
688126.SH	-0.01	0.17	0.15	-0.17	1.86
average sharp ratio: -0.23
